time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2009-07-24T03:11:56.830Z,31.158,85.902,13.4,5.8,mwc,199,20.5,,0.92,us,usp000gzjs,2022-05-02T21:15:52.053Z,"213 km NNE of Saga, China",earthquake,,,,,reviewed,us,gcmt
2009-06-11T21:37:33.200Z,30.794,83.485,10,4.1,mb,24,145.1,,1.1,us,usp000gy3m,2014-11-07T01:39:08.689Z,"210 km NE of Jumla, Nepal",earthquake,,,,4,reviewed,us,us
2009-06-06T09:44:36.970Z,30.996,86.314,10,4.9,mwc,77,63.4,,1.11,us,usp000gxx8,2016-11-10T02:12:56.735Z,"212 km NNE of Saga, China",earthquake,,,,,reviewed,us,gcmt
2009-03-18T00:29:33.430Z,30.634,83.734,32,4.1,mb,32,149.7,,0.94,us,usp000gv3h,2014-11-07T01:38:35.887Z,"204 km NW of Saga, China",earthquake,,16.1,,4,reviewed,us,us
2009-02-18T10:11:43.650Z,30.667,83.857,35,5.1,mwc,56,95.3,,1.12,us,usp000gu5c,2022-05-02T20:01:32.549Z,"199 km NW of Saga, China",earthquake,,,,,reviewed,us,gcmt
2009-01-09T12:40:20.960Z,31.807,78.343,28.2,4.2,mb,39,144.5,,1.07,us,usp000gsdg,2014-11-07T01:38:11.184Z,"61 km ENE of Sar?han, India",earthquake,,14.2,,4,reviewed,us,us
2009-01-07T10:27:06.710Z,27.692,92.756,19.7,4.7,mb,34,105.3,,0.6,us,usp000gsat,2014-11-07T01:38:10.772Z,"57 km NE of Bomdila, India",earthquake,,,,5,reviewed,us,us
2008-12-31T16:12:18.850Z,31.844,79.753,35,3.2,mb,8,152.2,,1.34,us,usp000grxp,2014-11-07T01:38:04.932Z,"143 km N of Josh?math, India",earthquake,,,,1,reviewed,us,us
2008-12-31T15:46:22.540Z,31.955,79.912,42.4,3.6,mb,31,133.7,,1.03,us,usp000grxn,2014-11-07T01:38:04.929Z,"158 km NNE of Josh?math, India",earthquake,,9.6,,4,reviewed,us,us
2008-12-26T11:43:55.390Z,29.888,81.979,28,4.1,mb,36,75.1,,1.16,us,usp000grhd,2014-11-07T01:38:03.004Z,"71 km NNW of Jumla, Nepal",earthquake,,18.1,,3,reviewed,us,us
2008-12-25T00:26:36.210Z,27.235,88.631,49.2,4.8,mb,93,90.1,,0.83,us,usp000grdq,2014-11-07T01:38:02.409Z,"10 km S of Gangtok, India",earthquake,,4.5,,32,reviewed,us,us
2008-12-24T17:37:35.020Z,30.858,83.442,35,3.7,mb,8,197.8,,1.4,us,usp000grcv,2014-11-07T01:38:02.285Z,"213 km NE of Jumla, Nepal",earthquake,,,,1,reviewed,us,us
2008-12-22T21:19:55.020Z,28.179,84.23,10,3.5,mb,20,167.8,,0.68,us,usp000gr7b,2014-11-07T01:38:01.293Z,"27 km ESE of Pokhara, Nepal",earthquake,,,,6,reviewed,us,us
2008-12-19T06:33:54.230Z,29.858,81.936,10,3.7,mb,14,154.4,,1.14,us,usp000gqx9,2014-11-07T01:37:59.737Z,"68 km NNW of Jumla, Nepal",earthquake,,,,3,reviewed,us,us
2008-12-08T08:59:11.320Z,29.948,82.051,35.6,5.3,mwc,208,24.2,,0.82,us,usp000gq68,2022-05-02T20:13:43.270Z,"75 km N of Jumla, Nepal",earthquake,,3.6,,,reviewed,us,gcmt
2008-12-07T14:06:34.410Z,30.713,83.105,10,4.1,mb,13,159.6,,1.31,us,usp000gq45,2014-11-07T01:37:55.116Z,"182 km NNE of Jumla, Nepal",earthquake,,,,1,reviewed,us,us
2008-12-05T04:34:19.750Z,29.098,87.956,10,3.4,mb,10,144.8,,0.67,us,usp000gpyh,2014-11-07T01:37:54.130Z,"91 km W of Rikaze, China",earthquake,,,,2,reviewed,us,us
2008-12-04T02:04:47.850Z,30.57,83.365,10,4,mb,24,145.2,,1.38,us,usp000gpwb,2014-11-07T01:37:53.586Z,"183 km NE of Jumla, Nepal",earthquake,,,,4,reviewed,us,us
2008-12-02T05:11:42.030Z,27.373,88.051,24.7,5.2,mb,103,93.6,,0.82,us,usp000gpsw,2014-11-07T01:37:52.109Z,"22 km WNW of Gyalshing, India",earthquake,,5.4,,35,reviewed,us,us
2008-11-28T14:35:24.300Z,30.869,83.505,10,3.9,mb,12,158.3,,1.39,us,usp000gpm5,2014-11-07T01:37:48.787Z,"217 km NE of Jumla, Nepal",earthquake,,,,2,reviewed,us,us
2008-11-27T18:45:39.770Z,30.732,83.253,10,3.5,mb,19,145.2,,1.26,us,usp000gpjf,2014-11-07T01:37:48.495Z,"191 km NNE of Jumla, Nepal",earthquake,,,,2,reviewed,us,us
2008-11-26T09:16:08.220Z,30.538,83.5,10,3.7,mb,9,182.1,,1,us,usp000gpfu,2014-11-07T01:37:48.245Z,"189 km NE of Jumla, Nepal",earthquake,,,,2,reviewed,us,us
2008-11-25T21:51:28.580Z,30.74,83.637,10,4.2,mb,33,95.9,,0.96,us,usp000gpeq,2014-11-07T01:37:48.035Z,"214 km NE of Jumla, Nepal",earthquake,,,,7,reviewed,us,us
2008-11-25T21:50:49.240Z,30.633,83.483,10,4.5,mb,31,144,,1.18,us,usp000gpep,2014-11-07T01:37:48.032Z,"195 km NE of Jumla, Nepal",earthquake,,,,3,reviewed,us,us
2008-11-23T13:22:58.580Z,29.842,90.45,10,4.4,mb,17,137,,0.93,us,usp000gp9g,2014-11-07T01:37:47.018Z,"29 km WSW of Dêqên, China",earthquake,,,,1,reviewed,us,us
2008-11-20T10:42:33.520Z,29.765,90.517,10,4.4,mb,21,137,,1.16,us,usp000gp3h,2014-11-07T01:37:46.279Z,"29 km SW of Dêqên, China",earthquake,,,,4,reviewed,us,us
2008-11-19T21:18:56.830Z,30.308,83.711,10,3.7,mb,15,137.7,,1.15,us,usp000gp2a,2014-11-07T01:37:46.186Z,"182 km NW of Saga, China",earthquake,,,,2,reviewed,us,us
2008-11-19T14:57:03.230Z,30.665,83.187,10,3.9,mb,17,145.2,,0.87,us,usp000gp1t,2014-11-07T01:37:46.099Z,"182 km NNE of Jumla, Nepal",earthquake,,,,3,reviewed,us,us
2008-11-18T05:29:22.970Z,30.254,83.766,34.8,4.5,mb,44,105.6,,1.03,us,usp000gnz0,2014-11-07T01:37:45.686Z,"174 km NW of Saga, China",earthquake,,18.2,,17,reviewed,us,us
2008-11-17T23:52:18.360Z,29.19,88.226,11.6,4.6,mb,49,75.1,,0.86,us,usp000gnya,2014-11-07T01:37:45.504Z,"64 km W of Rikaze, China",earthquake,,18,,11,reviewed,us,us
2008-11-17T07:49:53.410Z,30.618,83.125,10,3.7,mb,11,145.3,,1.4,us,usp000gnwc,2014-11-07T01:37:45.146Z,"174 km NNE of Jumla, Nepal",earthquake,,,,1,reviewed,us,us
2008-11-17T07:16:58.940Z,30.807,83.3,10,3.7,mb,12,145.1,,1.43,us,usp000gnw7,2014-11-07T01:37:45.134Z,"201 km NNE of Jumla, Nepal",earthquake,,,,2,reviewed,us,us
2008-11-15T18:39:43.800Z,30.108,83.441,17.2,3.9,mb,17,145.4,,1.38,us,usp000gnsa,2014-11-07T01:37:44.482Z,"152 km NE of Jumla, Nepal",earthquake,,36.9,,5,reviewed,us,us
2008-11-14T17:11:03.740Z,30.088,83.527,24.1,3.6,mb,23,145.4,,1.42,us,usp000gnpj,2014-11-07T01:37:44.215Z,"158 km NE of Jumla, Nepal",earthquake,,25.5,,5,reviewed,us,us
2008-11-14T16:49:50.130Z,30.185,83.621,10,3.7,mb,19,151,,1.4,us,usp000gnph,2014-11-07T01:37:44.213Z,"171 km NE of Jumla, Nepal",earthquake,,,,3,reviewed,us,us
2008-11-14T16:39:58.660Z,30.249,83.72,19.8,4.2,mb,39,134.5,,1.13,us,usp000gnpg,2014-11-07T01:37:44.209Z,"178 km NW of Saga, China",earthquake,,20.8,,10,reviewed,us,us
2008-11-14T04:26:12.120Z,27.747,92.777,81.7,3.7,mb,16,143.9,,0.57,us,usp000gnnh,2014-11-07T01:37:44.106Z,"63 km NNE of Bomdila, India",earthquake,,13,,5,reviewed,us,us
2008-11-13T18:21:41.840Z,32.11,85.016,10,3.6,mb,12,143.8,,1.34,us,usp000gnm3,2014-11-07T01:37:43.927Z,western Xizang,earthquake,,,,2,reviewed,us,us
2008-11-12T16:59:01.480Z,30.588,83.252,10,3.4,mb,11,165.2,,1.3,us,usp000gnhy,2014-11-07T01:37:43.692Z,"178 km NE of Jumla, Nepal",earthquake,,,,2,reviewed,us,us
2008-11-11T19:51:47.270Z,30.755,82.737,10,3.6,mb,9,205.1,,1.36,us,usp000gng1,2014-11-07T01:37:43.493Z,"158 km ENE of Burang, China",earthquake,,,,2,reviewed,us,us
2008-11-06T14:34:19.930Z,30.725,85.169,10,3.7,mb,7,205.8,,1.08,us,usp000gn2z,2014-11-07T01:37:41.528Z,"155 km N of Saga, China",earthquake,,,,1,reviewed,us,us
2008-11-03T18:33:15.860Z,30.914,83.565,28.1,3.9,mb,28,134.3,,0.99,us,usp000gmvm,2014-11-07T01:37:40.486Z,"225 km NE of Jumla, Nepal",earthquake,,18.8,,2,reviewed,us,us
2008-10-29T22:05:57.980Z,30.05,89.562,10,3.9,mb,25,115.8,,0.64,us,usp000gmcb,2014-11-07T01:37:34.146Z,"110 km NE of Rikaze, China",earthquake,,,,7,reviewed,us,us
